City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
141,Adrar,MR,20.5022,-10.0711,79.92,15,93,13.98,overcast clouds
142,Cooma,AU,-36.2333,149.1333,46.11,80,92,6.46,overcast clouds
143,Port Hardy,CA,50.6996,-127.4199,42.76,93,100,12.66,mist
144,Luderitz,NA,-26.6481,15.1594,67.59,81,33,3.13,scattered clouds
145,Nipawin,CA,53.3668,-104.0009,-18.36,63,0,5.75,clear sky
146,Alofi,NU,-19.0595,-169.9187,73.29,94,86,5.75,overcast clouds
147,Port Elizabeth,ZA,-33.918,25.5701,74.1,94,75,16.11,moderate rain
148,Tyup,KG,42.7276,78.3648,16.09,78,94,4.79,overcast clouds
149,Meulaboh,ID,4.1363,96.1285,78.15,81,98,3.65,overcast clouds
150,Tromso,NO,69.6496,18.957,10.42,85,0,1.14,clear sky
151,Pevek,RU,69.7008,170.3133,-9.06,78,56,4.36,broken clouds
152,Nioro,GM,13.35,-15.75,100.08,7,30,8.7,scattered clouds
153,Saldanha,ZA,-33.0117,17.9442,66.38,87,99,8.7,overcast clouds
154,Chokurdakh,RU,70.6333,147.9167,-19.08,98,97,7.67,overcast clouds
155,Provideniya,RU,64.3833,-173.3,4.3,67,0,21.39,clear sky
156,Bourail,NC,-21.5667,165.4833,74.25,86,60,2.39,broken clouds
157,Castro,BR,-24.7911,-50.0119,76.17,70,56,3.69,broken clouds
158,Amapa,BR,1,-52,76.01,97,98,4.23,light rain
159,Canto Do Buriti,BR,-8.11,-42.9444,94.71,31,35,5.19,scattered clouds
160,Linhares,BR,-19.3911,-40.0722,79.52,85,99,4.56,overcast clouds
161,Genhe,CN,50.7833,121.5167,-19.52,100,83,2.24,broken clouds
162,Hithadhoo,MV,-0.6,73.0833,82.53,70,33,8.43,scattered clouds
163,Debre Birhan,ET,9.6833,39.5333,52.34,69,64,5.82,broken clouds
164,Constitucion,CL,-35.3333,-72.4167,67.23,65,3,8.39,clear sky
165,Thompson,CA,55.7435,-97.8558,-16.44,58,0,13.8,clear sky
166,Esperance,AU,-33.8667,121.9,60.37,72,0,13.27,clear sky
167,Vanderhoof,CA,54.0166,-124.0198,7.18,93,100,3.94,light snow
168,Vila Franca Do Campo,PT,37.7167,-25.4333,63.19,74,17,11.27,few clouds
169,Banjar,ID,-8.19,114.9675,82.26,91,77,5.39,broken clouds
170,Vardo,NO,70.3705,31.1107,30.18,59,75,16.11,broken clouds
171,Lasa,IT,46.6166,10.7002,42.03,95,100,7.65,overcast clouds
172,Antalaha,MG,-14.9003,50.2788,76.96,79,100,5.59,overcast clouds
173,Pangnirtung,CA,66.1451,-65.7125,3.2,78,100,21.85,light snow
174,Bubaque,GW,11.2833,-15.8333,78.48,83,33,13.78,scattered clouds
175,Clinton,US,42.587,-82.9199,35.1,93,100,1.01,snow
176,Inhambane,MZ,-23.865,35.3833,78.78,83,20,4.61,few clouds
177,Acarau,BR,-2.8856,-40.12,85.6,61,66,14.97,broken clouds
178,Broome,US,42.2506,-75.833,42.46,68,0,3,clear sky
179,Coos Bay,US,43.3665,-124.2179,46.15,98,100,2.64,overcast clouds
180,Broken Hill,AU,-31.95,141.4333,61.65,41,0,19.71,clear sky
181,Faanui,PF,-16.4833,-151.75,80.47,75,23,18.34,few clouds
182,Sitka,US,57.0531,-135.33,33.69,93,100,3.44,mist
183,Pacific Grove,US,36.6177,-121.9166,58.89,30,0,5.01,clear sky
184,Mayumba,GA,-3.432,10.6554,78.12,87,99,6.42,light rain
185,Porto Novo,BJ,6.4965,2.6036,84.02,60,13,8.57,few clouds
186,Yar-Sale,RU,66.8333,70.8333,-6.93,92,99,11.12,overcast clouds
187,Monte Azul,BR,-15.155,-42.8747,81.48,70,76,2.57,light rain
188,Souillac,MU,-20.5167,57.5167,80.37,94,75,27.63,light intensity shower rain
189,Voznesenskoye,RU,54.89,42.7569,6.53,100,73,4.03,broken clouds
190,Vozhega,RU,60.4725,40.2213,14.04,99,98,2.89,overcast clouds
191,Lebu,CL,-37.6167,-73.65,65.62,76,37,9.93,scattered clouds
